
2021/09/23 (17:12:06) | ===> btop++ v.1.0.6
2021/09/23 (17:12:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/09/23 (17:13:47) | ===> btop++ v.1.0.6
2021/09/23 (17:13:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/09/23 (17:16:07) | ===> btop++ v.1.0.6
2021/09/23 (17:16:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/09/24 (19:24:01) | ===> btop++ v.1.0.6
2021/09/24 (19:24:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/09/24 (23:35:59) | ===> btop++ v.1.0.6
2021/09/24 (23:35:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/09/26 (13:00:50) | ===> btop++ v.1.0.6
2021/09/26 (13:00:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/04 (15:42:09) | ===> btop++ v.1.0.6
2021/10/04 (15:42:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/05 (00:59:54) | ===> btop++ v.1.0.6
2021/10/05 (00:59:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/05 (01:22:02) | ===> btop++ v.1.0.6
2021/10/05 (01:22:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/05 (04:36:10) | ===> btop++ v.1.0.6
2021/10/05 (04:36:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/06 (03:43:59) | ===> btop++ v.1.0.6
2021/10/06 (03:43:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/06 (21:49:34) | ===> btop++ v.1.0.6
2021/10/06 (21:49:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/06 (21:49:46) | ===> btop++ v.1.0.6
2021/10/06 (21:49:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/08 (03:37:54) | ===> btop++ v.1.0.6
2021/10/08 (03:37:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/08 (03:47:53) | ===> btop++ v.1.0.6
2021/10/08 (03:47:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/08 (19:10:56) | ===> btop++ v.1.0.6
2021/10/08 (19:10:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/09 (05:30:56) | ===> btop++ v.1.0.6
2021/10/09 (05:30:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/09 (05:31:29) | ===> btop++ v.1.0.6
2021/10/09 (05:31:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/22 (15:25:45) | ===> btop++ v.1.0.6
2021/10/22 (15:25:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/22 (15:43:34) | ===> btop++ v.1.0.6
2021/10/22 (15:43:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/01 (10:45:03) | ===> btop++ v.1.0.6
2021/11/01 (10:45:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/03 (23:17:54) | ===> btop++ v.1.0.6
2021/11/03 (23:17:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/03 (23:19:29) | ===> btop++ v.1.0.6
2021/11/03 (23:19:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/04 (00:09:51) | ===> btop++ v.1.0.22
2021/11/04 (00:09:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/04 (00:11:44) | ===> btop++ v.1.0.22
2021/11/04 (00:11:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/04 (13:09:55) | ===> btop++ v.1.0.22
2021/11/04 (13:09:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/04 (14:14:35) | ===> btop++ v.1.0.22
2021/11/04 (14:14:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/04 (14:50:34) | ===> btop++ v.1.0.22
2021/11/04 (14:50:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/05 (00:17:17) | ===> btop++ v.1.0.22
2021/11/05 (00:17:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/05 (14:27:43) | ===> btop++ v.1.0.22
2021/11/05 (14:27:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2021/11/05 (14:27:53) | ERROR: Failed to join _runner thread!
2021/11/05 (14:27:54) | ERROR: No response from Runner thread, quitting!

2021/11/05 (14:28:31) | ===> btop++ v.1.0.22
2021/11/05 (14:28:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/05 (14:29:10) | ===> btop++ v.1.0.22
2021/11/05 (14:29:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/05 (14:32:17) | ===> btop++ v.1.0.22
2021/11/05 (14:32:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/06 (18:06:56) | ===> btop++ v.1.0.22
2021/11/06 (18:06:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/06 (18:07:36) | ===> btop++ v.1.0.22
2021/11/06 (18:07:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/07 (13:19:38) | ===> btop++ v.1.0.22
2021/11/07 (13:19:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2021/11/07 (16:29:12) | ERROR: Stall in Runner thread, restarting!
2021/11/07 (22:05:59) | ERROR: Failed to join _runner thread!

2021/11/08 (16:09:42) | ===> btop++ v.1.0.22
2021/11/08 (16:09:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/10 (19:12:39) | ===> btop++ v.1.0.22
2021/11/10 (19:12:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/11 (00:11:29) | ===> btop++ v.1.0.22
2021/11/11 (00:11:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/13 (15:53:07) | ===> btop++ v.1.0.22
2021/11/13 (15:53:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
